Run_ID,Task_Type,Mode,Model,Epochs,Batch_Size,LR,Accuracy,Macro_F1,AUC,Off_By_1_Acc,Adj_Error_Ratio,Mid_Confusion_Ratio,MSE,MAE,Train_Time(s),Train_Speed(s/s),Eval_Time(s),Eval_Speed(s/s)
run_001,binary,Classification,distilbert-base-uncased,3,16,1e-05,0.9481,0.9481,0.9893,N/A,N/A,N/A,N/A,N/A,240.81,397.04,2.4,1660.86
run_001,5_class,Classification,distilbert-base-uncased,3,16,1e-05,0.6193,0.6183,N/A,0.96,0.8949,0.4124,N/A,N/A,282.31,422.41,2.92,1718.6
run_002,binary,Classification,distilbert-base-uncased,4,16,1e-05,0.9489,0.9488,0.99,N/A,N/A,N/A,N/A,N/A,309.14,412.39,2.36,1692.05
run_002,5_class,Classification,distilbert-base-uncased,4,16,1e-05,0.6205,0.6182,N/A,0.9608,0.8967,0.4127,N/A,N/A,396.36,401.15,3.06,1639.75
run_001,3_class,Classification,distilbert-base-uncased,3,16,1e-05,0.8028,0.7549,N/A,N/A,N/A,N/A,N/A,N/A,288.63,413.15,2.94,1707.15
run_002,3_class,Classification,distilbert-base-uncased,4,16,1e-05,0.8022,0.7556,N/A,N/A,N/A,N/A,N/A,N/A,383.31,414.81,2.92,1718.39
run_003,5_class,Classification,distilbert-base-uncased,3,8,1e-05,0.6474,0.646,N/A,0.9719,0.9204,0.4227,N/A,N/A,479.29,248.81,5.67,886.63
run_003,binary,Classification,distilbert-base-uncased,3,8,1e-05,0.9637,0.9636,0.9931,N/A,N/A,N/A,N/A,N/A,388.81,245.91,4.49,888.43
run_004,5_class,Classification,distilbert-base-uncased,4,8,1e-05,0.6458,0.644,N/A,0.9701,0.9157,0.4197,N/A,N/A,646.42,245.97,5.7,881.3
run_004,binary,Classification,distilbert-base-uncased,4,8,1e-05,0.9634,0.9633,0.9933,N/A,N/A,N/A,N/A,N/A,511.06,249.45,4.54,879.07
run_003,3_class,Classification,distilbert-base-uncased,3,8,1e-05,0.8223,0.7726,N/A,N/A,N/A,N/A,N/A,N/A,475.44,250.82,5.88,855.0
